t,x,y,vx,vy,pitch,roll,engine_out
33.60,672.00,16.99,20.00,-1.78,0.0288,-0.0228,0
33.80,676.00,16.79,20.00,-1.86,0.0345,-0.0343,0
34.00,680.00,16.59,20.00,-1.92,0.0294,-0.0351,0
34.20,684.00,16.39,20.00,-1.97,0.0280,-0.0332,0
34.40,688.00,16.18,20.00,-1.99,0.0338,-0.0294,0
34.60,692.00,15.97,20.00,-2.00,0.0314,-0.0373,0
34.80,696.00,15.77,20.00,-1.99,0.0247,-0.0403,0
35.00,700.00,15.57,20.00,-1.95,0.0256,-0.0428,0
35.20,704.00,15.38,20.00,-1.90,0.0275,-0.0430,0
35.40,708.00,15.20,20.00,-1.83,0.0178,-0.0370,0
35.60,712.00,15.03,20.00,-1.73,0.0223,-0.0572,0
35.80,716.00,14.88,20.00,-1.63,0.0144,-0.0456,0
36.00,720.00,14.75,20.00,-1.50,0.0117,-0.0447,0
36.20,724.00,14.64,20.00,-1.36,0.0094,-0.0564,0
36.40,728.00,14.55,20.00,-1.21,-0.0003,-0.0592,0
36.60,732.00,14.48,20.00,-1.04,0.0020,-0.0429,0
36.80,736.00,14.44,20.00,-0.87,0.0012,-0.0455,0
37.00,740.00,14.43,20.00,-0.68,-0.0074,-0.0507,0
37.20,744.00,14.44,20.00,-0.49,-0.0146,-0.0512,0
37.40,748.00,14.47,20.00,-0.30,-0.0151,-0.0523,0
37.60,752.00,14.54,20.00,-0.10,-0.0168,-0.0438,0
37.80,756.00,14.63,20.00,0.10,-0.0187,-0.0523,0
38.00,760.00,14.75,20.00,0.30,-0.0243,-0.0438,0
38.20,764.00,14.89,20.00,0.50,-0.0242,-0.0453,0
38.40,768.00,15.06,20.00,0.69,-0.0301,-0.0485,0
38.60,772.00,15.25,20.00,0.87,-0.0264,-0.0383,0
38.80,776.00,15.46,20.00,1.05,-0.0275,-0.0491,0
39.00,780.00,15.69,20.00,1.21,-0.0293,-0.0306,0
39.20,784.00,15.94,20.00,1.36,-0.0266,-0.0423,0
39.40,788.00,16.20,20.00,1.50,-0.0323,-0.0371,0
39.60,792.00,16.47,20.00,1.63,-0.0311,-0.0249,0
39.80,796.00,16.76,20.00,1.74,-0.0276,-0.0283,0
40.00,800.00,17.05,20.00,1.83,-0.0300,-0.0356,0
40.20,804.00,17.34,20.00,1.90,-0.0259,-0.0312,0
40.40,808.00,17.63,20.00,1.95,-0.0239,-0.0240,0
40.60,812.00,17.92,20.00,1.99,-0.0185,-0.0247,0
40.80,816.00,18.20,20.00,2.00,-0.0225,-0.0206,0
41.00,820.00,18.47,20.00,1.99,-0.0190,-0.0155,0
41.20,824.00,18.73,20.00,1.97,-0.0129,-0.0191,0
41.40,828.00,18.98,20.00,1.92,-0.0107,-0.0107,0
41.60,832.00,19.20,20.00,1.86,-0.0095,-0.0021,0
41.80,836.00,19.40,20.00,1.77,0.0025,0.0064,0
42.00,840.00,19.58,20.00,1.67,0.0070,0.0032,0
42.20,844.00,19.73,20.00,1.56,0.0054,0.0014,0
42.40,848.00,19.85,20.00,1.42,0.0104,0.0090,0
42.60,852.00,19.94,20.00,1.27,0.0161,0.0187,0
42.80,856.00,20.00,20.00,1.11,0.0194,0.0233,0
43.00,860.00,20.02,20.00,0.94,0.0204,0.0261,0
43.20,864.00,20.01,20.00,0.76,0.0233,0.0151,0
43.40,868.00,19.96,20.00,0.57,0.0267,0.0182,0
43.60,872.00,19.88,20.00,0.38,0.0220,0.0323,0
43.80,876.00,19.76,20.00,0.18,0.0323,0.0198,0
44.00,880.00,19.61,20.00,-0.02,0.0256,0.0246,0
44.20,884.00,19.42,20.00,-0.22,0.0272,0.0391,0
44.40,888.00,19.20,20.00,-0.41,0.0317,0.0400,0
44.60,892.00,18.95,20.00,-0.61,0.0301,0.0399,0
44.80,896.00,18.67,20.00,-0.80,0.0268,0.0356,0
45.00,900.00,18.36,20.00,-0.97,0.0300,0.0482,0
45.20,904.00,18.02,20.00,-1.14,0.0291,0.0339,0
45.40,908.00,17.67,20.00,-1.30,0.0241,0.0340,0
45.60,912.00,17.29,20.00,-1.45,0.0216,0.0436,0
45.80,916.00,16.90,20.00,-1.58,0.0188,0.0441,0
46.00,920.00,16.50,20.00,-1.69,0.0152,0.0564,0
46.20,924.00,16.09,20.00,-1.79,0.0121,0.0431,0
46.40,928.00,15.67,20.00,-1.87,0.0149,0.0411,0
46.60,932.00,15.26,20.00,-1.93,0.0136,0.0473,0
46.80,936.00,14.85,20.00,-1.97,0.0043,0.0582,0
47.00,940.00,14.44,20.00,-2.00,-0.0011,0.0597,0
47.20,944.00,14.05,20.00,-2.00,0.0014,0.0463,0
47.40,948.00,13.67,20.00,-1.98,-0.0058,0.0414,0
47.60,952.00,13.31,20.00,-1.94,-0.0095,0.0462,0
47.80,956.00,12.98,20.00,-1.89,-0.0077,0.0426,0
48.00,960.00,12.67,20.00,-1.81,-0.0161,0.0484,0
48.20,964.00,12.39,20.00,-1.72,-0.0168,0.0526,0
48.40,968.00,12.14,20.00,-1.61,-0.0245,0.0410,0
48.60,972.00,11.93,20.00,-1.48,-0.0269,0.0528,0
48.80,976.00,11.76,20.00,-1.34,-0.0299,0.0485,0
49.00,980.00,11.63,20.00,-1.18,-0.0232,0.0493,0
49.20,984.00,11.54,20.00,-1.02,-0.0239,0.0394,0
49.40,988.00,11.50,20.00,-0.84,-0.0271,0.0367,0
49.60,992.00,11.50,20.00,-0.65,-0.0261,0.0341,0
49.80,996.00,11.54,20.00,-0.46,-0.0302,0.0302,0
50.00,1000.00,11.63,20.00,-0.26,-0.0305,0.0292,0
50.20,1004.00,11.77,20.00,-0.07,-0.0283,0.0273,0
50.40,1008.00,11.95,20.00,0.13,-0.0298,0.0253,0
50.60,1012.00,12.17,20.00,0.33,-0.0304,0.0200,0
50.80,1016.00,12.44,20.00,0.53,-0.0262,0.0249,0
51.00,1020.00,12.74,20.00,0.72,-0.0246,0.0270,0
51.20,1024.00,13.09,20.00,0.90,-0.0210,0.0106,0
51.40,1028.00,13.46,20.00,1.07,-0.0114,0.0048,0
51.60,1032.00,13.87,20.00,1.24,-0.0103,0.0121,0
51.80,1036.00,14.31,20.00,1.39,-0.0132,0.0038,0
52.00,1040.00,14.78,20.00,1.53,-0.0113,-0.0043,0
52.20,1044.00,15.26,20.00,1.65,-0.0019,0.0031,0
52.40,1048.00,15.76,20.00,1.75,-0.0027,0.0027,0
52.60,1052.00,16.27,20.00,1.84,0.0054,-0.0058,0
52.80,1056.00,16.80,20.00,1.91,0.0063,-0.0155,0
53.00,1060.00,17.32,20.00,1.96,0.0138,-0.0136,0
53.20,1064.00,17.84,20.00,1.99,0.0184,-0.0212,0
53.40,1068.00,18.36,20.00,2.00,0.0156,-0.0113,0
53.60,1072.00,18.86,20.00,1.99,0.0203,-0.0124,0
53.80,1076.00,19.35,20.00,1.96,0.0181,-0.0115,0
54.00,1080.00,19.82,20.00,1.91,0.0209,-0.0164,0
54.20,1084.00,20.26,20.00,1.84,0.0263,-0.0276,0
54.40,1088.00,20.68,20.00,1.76,0.0240,-0.0322,0
54.60,1092.00,21.06,20.00,1.65,0.0325,-0.0379,0
54.80,1096.00,21.41,20.00,1.53,0.0328,-0.0434,0
55.00,1100.00,21.71,20.00,1.40,0.0294,-0.0292,0
55.20,1104.00,21.97,20.00,1.25,0.0262,-0.0299,0
55.40,1108.00,22.19,20.00,1.09,0.0306,-0.0382,0
55.60,1112.00,22.36,20.00,0.91,0.0288,-0.0398,0
55.80,1116.00,22.47,20.00,0.73,0.0257,-0.0417,0
56.00,1120.00,22.54,20.00,0.54,0.0227,-0.0422,0
56.20,1124.00,22.56,20.00,0.35,0.0204,-0.0470,0
56.40,1128.00,22.52,20.00,0.15,0.0194,-0.0562,0
56.60,1132.00,22.43,20.00,-0.05,0.0136,-0.0404,0
56.80,1136.00,22.28,20.00,-0.25,0.0151,-0.0407,0
57.00,1140.00,22.09,20.00,-0.45,0.0104,-0.0509,0
57.20,1144.00,21.84,20.00,-0.64,0.0111,-0.0443,0
57.40,1148.00,21.55,20.00,-0.83,0.0008,-0.0426,0
57.60,1152.00,21.21,20.00,-1.00,-0.0040,-0.0513,0
57.80,1156.00,20.83,20.00,-1.17,-0.0086,-0.0588,0
58.00,1160.00,20.41,20.00,-1.33,-0.0106,-0.0541,0
58.20,1164.00,19.95,20.00,-1.47,-0.0113,-0.0408,0
58.40,1168.00,19.46,20.00,-1.60,-0.0144,-0.0580,0
58.60,1172.00,18.94,20.00,-1.71,-0.0154,-0.0472,0
58.80,1176.00,18.40,20.00,-1.81,-0.0151,-0.0385,0
59.00,1180.00,17.84,20.00,-1.88,-0.0251,-0.0494,0
59.20,1184.00,17.27,20.00,-1.94,-0.0233,-0.0467,0
59.40,1188.00,16.68,20.00,-1.98,-0.0254,-0.0445,0
59.60,1192.00,16.09,20.00,-2.00,-0.0256,-0.0345,0
59.80,1196.00,15.51,20.00,-2.00,-0.0299,-0.0312,0
60.00,1200.00,14.93,20.00,-1.98,-0.0278,-0.0425,0
60.20,1204.00,14.36,20.00,-1.94,-0.0296,-0.0360,0
60.40,1208.00,13.80,20.00,-1.88,-0.0265,-0.0298,0
60.60,1212.00,13.27,20.00,-1.80,-0.0269,-0.0212,0
60.80,1216.00,12.77,20.00,-1.70,-0.0232,-0.0357,0
61.00,1220.00,12.30,20.00,-1.59,-0.0249,-0.0182,0
61.20,1224.00,11.86,20.00,-1.46,-0.0231,-0.0155,0
61.40,1228.00,11.46,20.00,-1.31,-0.0217,-0.0181,0
61.60,1232.00,11.10,20.00,-1.16,-0.0157,-0.0276,0
61.80,1236.00,10.79,20.00,-0.99,-0.0176,-0.0221,0
62.00,1240.00,10.53,20.00,-0.81,-0.0158,-0.0128,0
62.20,1244.00,10.31,20.00,-0.62,-0.0064,-0.0060,0
62.40,1248.00,10.16,20.00,-0.43,-0.0083,-0.0023,0
62.60,1252.00,10.05,20.00,-0.23,-0.0062,-0.0110,0
62.80,1256.00,10.00,20.00,-0.03,-0.0020,0.0070,0
63.00,1260.00,10.01,20.00,0.17,0.0049,0.0090,0
63.20,1264.00,10.07,20.00,0.37,0.0113,0.0067,0
63.40,1268.00,10.19,20.00,0.56,0.0063,0.0126,0
63.60,1272.00,10.36,20.00,0.75,0.0125,0.0100,0
63.80,1276.00,10.59,20.00,0.93,0.0146,0.0156,0
64.00,1280.00,10.87,20.00,1.10,0.0196,0.0082,0
64.20,1284.00,11.19,20.00,1.26,0.0243,0.0172,0
64.40,1288.00,11.56,20.00,1.41,0.0264,0.0232,0
64.60,1292.00,11.97,20.00,1.55,0.0266,0.0274,0
64.80,1296.00,12.42,20.00,1.67,0.0293,0.0337,0
65.00,1300.00,12.91,20.00,1.77,0.0261,0.0205,0
65.20,1304.00,13.42,20.00,1.85,0.0273,0.0267,0
65.40,1308.00,13.97,20.00,1.92,0.0266,0.0327,0
65.60,1312.00,14.53,20.00,1.97,0.0262,0.0454,0
65.80,1316.00,15.11,20.00,1.99,0.0287,0.0367,0
66.00,1320.00,15.70,20.00,2.00,0.0237,0.0374,0
66.20,1324.00,16.29,20.00,1.99,0.0284,0.0481,0
66.40,1328.00,16.89,20.00,1.95,0.0279,0.0494,0
66.60,1332.00,17.48,20.00,1.90,0.0265,0.0484,0
66.80,1336.00,18.06,20.00,1.83,0.0176,0.0478,0
67.00,1340.00,18.62,20.00,1.74,0.0137,0.0464,0
67.20,1344.00,19.17,20.00,1.64,0.0120,0.0479,0
67.40,1348.00,19.69,20.00,1.51,0.0086,0.0398,0
67.60,1352.00,20.18,20.00,1.37,0.0050,0.0558,0
67.80,1356.00,20.64,20.00,1.22,0.0008,0.0596,0
68.00,1360.00,21.06,20.00,1.06,0.0019,0.0549,0
68.20,1364.00,21.44,20.00,0.88,0.0022,0.0453,0
68.40,1368.00,21.77,20.00,0.70,-0.0058,0.0424,0
68.60,1372.00,22.06,20.00,0.51,-0.0105,0.0570,0
68.80,1376.00,22.30,20.00,0.31,-0.0081,0.0397,0
69.00,1380.00,22.49,20.00,0.11,-0.0182,0.0571,0
69.20,1384.00,22.62,20.00,-0.08,-0.0215,0.0400,0
69.40,1388.00,22.70,20.00,-0.28,-0.0244,0.0417,0
69.60,1392.00,22.73,20.00,-0.48,-0.0213,0.0546,0
69.80,1396.00,22.71,20.00,-0.67,-0.0212,0.0448,0
70.00,1400.00,22.63,20.00,-0.86,-0.0268,0.0457,0
70.20,1404.00,22.49,20.00,-1.03,-0.0330,0.0373,0
70.40,1408.00,22.31,20.00,-1.20,-0.0279,0.0479,0
70.60,1412.00,22.08,20.00,-1.35,-0.0261,0.0290,0
70.80,1416.00,21.80,20.00,-1.49,-0.0338,0.0371,0
71.00,1420.00,21.47,20.00,-1.62,-0.0254,0.0358,0
71.20,1424.00,21.11,20.00,-1.73,-0.0301,0.0256,0
71.40,1428.00,20.71,20.00,-1.82,-0.0274,0.0352,0
71.60,1432.00,20.27,20.00,-1.89,-0.0273,0.0170,0
71.80,1436.00,19.81,20.00,-1.95,-0.0284,0.0129,0
72.00,1440.00,19.32,20.00,-1.98,-0.0250,0.0169,0
72.20,1444.00,18.81,20.00,-2.00,-0.0159,0.0150,0
72.40,1448.00,18.28,20.00,-1.99,-0.0138,0.0174,0
72.60,1452.00,17.74,20.00,-1.97,-0.0168,0.0083,0
72.80,1456.00,17.20,20.00,-1.93,-0.0059,0.0109,0
73.00,1460.00,16.65,20.00,-1.86,-0.0022,-0.0003,0
73.20,1464.00,16.11,20.00,-1.78,-0.0038,0.0112,0
73.40,1468.00,15.58,20.00,-1.68,0.0012,0.0046,0
73.60,1472.00,15.06,20.00,-1.57,0.0019,-0.0098,0
73.80,1476.00,14.56,20.00,-1.43,0.0061,0.0010,0
74.00,1480.00,14.07,20.00,-1.29,0.0140,-0.0083,0
74.20,1484.00,13.62,20.00,-1.13,0.0175,-0.0094,0
74.40,1488.00,13.19,20.00,-0.96,0.0142,-0.0242,0
74.60,1492.00,12.80,20.00,-0.78,0.0191,-0.0115,0
74.80,1496.00,12.45,20.00,-0.59,0.0223,-0.0218,0
75.00,1500.00,12.13,20.00,-0.40,0.0289,-0.0266,0
75.20,1504.00,11.86,20.00,-0.20,0.0262,-0.0205,0
75.40,1508.00,11.63,20.00,0.00,0.0281,-0.0357,0
75.60,1512.00,11.45,20.00,0.20,0.0312,-0.0384,0
75.80,1516.00,11.31,20.00,0.40,0.0328,-0.0392,0
76.00,1520.00,11.22,20.00,0.59,0.0262,-0.0269,0
76.20,1524.00,11.18,20.00,0.78,0.0274,-0.0286,0
76.40,1528.00,11.18,20.00,0.96,0.0242,-0.0413,0
76.60,1532.00,11.23,20.00,1.13,0.0273,-0.0442,0
76.80,1536.00,11.33,20.00,1.29,0.0249,-0.0503,0
77.00,1540.00,11.47,20.00,1.44,0.0235,-0.0371,0
77.20,1544.00,11.66,20.00,1.57,0.0213,-0.0535,0
77.40,1548.00,11.88,20.00,1.68,0.0148,-0.0490,0
77.60,1552.00,12.15,20.00,1.78,0.0124,-0.0383,0
77.80,1556.00,12.44,20.00,1.86,0.0110,-0.0475,0
78.00,1560.00,12.77,20.00,1.93,0.0120,-0.0429,0
78.20,1564.00,13.13,20.00,1.97,0.0032,-0.0569,0
78.40,1568.00,13.52,20.00,2.00,0.0045,-0.0470,0
78.60,1572.00,13.92,20.00,2.00,-0.0027,-0.0509,0
78.80,1576.00,14.34,20.00,1.98,-0.0066,-0.0571,0
79.00,1580.00,14.77,20.00,1.95,-0.0036,-0.0440,0
79.20,1584.00,15.22,20.00,1.89,-0.0072,-0.0550,0
79.40,1588.00,15.66,20.00,1.82,-0.0179,-0.0456,0
79.60,1592.00,16.11,20.00,1.73,-0.0219,-0.0383,0
79.80,1596.00,16.55,20.00,1.62,-0.0200,-0.0517,0
80.00,1600.00,16.98,20.00,1.49,-0.0279,-0.0420,0
80.20,1604.00,17.40,20.00,1.35,-0.0209,-0.0447,0
80.40,1608.00,17.81,20.00,1.20,-0.0222,-0.0331,0
80.60,1612.00,18.20,20.00,1.03,-0.0256,-0.0367,0
80.80,1616.00,18.56,20.00,0.85,-0.0331,-0.0440,0
81.00,1620.00,18.90,20.00,0.67,-0.0269,-0.0384,0
81.20,1624.00,19.20,20.00,0.48,-0.0308,-0.0317,0
81.40,1628.00,19.48,20.00,0.28,-0.0328,-0.0333,0
81.60,1632.00,19.73,20.00,0.08,-0.0283,-0.0392,0
81.80,1636.00,19.93,20.00,-0.12,-0.0269,-0.0290,0
82.00,1640.00,20.11,20.00,-0.32,-0.0254,-0.0292,0
82.20,1644.00,20.24,20.00,-0.51,-0.0226,-0.0254,0
82.40,1648.00,20.34,20.00,-0.70,-0.0256,-0.0136,0
